,0
1,0.0
2,0.0
3,1.0
4,0.0
5,1.0
6,0.0
7,0.0
8,1.0
10,0.0
12,1.0
13,1.0
14,0.0
15,1.0
16,1.0
17,2.0
18,0.0
19,2.0
20,1.0
21,1.0
22,1.0
24,1.0
25,0.0
26,0.0
27,1.0
29,1.0
31,1.0
32,1.0
33,2.0
34,2.0
35,1.0
36,0.0
37,1.0
39,1.0
40,1.0
41,0.0
43,1.0
44,1.0
45,1.0
46,2.0
47,2.0
48,2.0
49,2.0
50,2.0
51,2.0
52,0.0
53,1.0
54,2.0
55,2.0
56,2.0
57,0.0
58,0.0
59,2.0
60,1.0
62,0.0
63,1.0
64,1.0
65,0.0
66,2.0
67,1.0
69,1.0
70,2.0
71,2.0
72,1.0
73,2.0
74,2.0
75,2.0
76,1.0
77,2.0
78,1.0
79,0.0
80,2.0
81,1.0
82,2.0
83,2.0
84,0.0
85,0.0
86,0.0
87,1.0
88,1.0
89,2.0
90,2.0
91,1.0
92,1.0
93,2.0
94,1.0
99,2.0
100,1.0
101,2.0
102,1.0
104,1.0
105,2.0
107,2.0
108,2.0
109,0.0
110,2.0
111,1.0
112,2.0
114,1.0
117,2.0
119,1.0
122,1.0
125,2.0
126,0.0
127,1.0
128,1.0
129,1.0
130,2.0
131,1.0
132,2.0
133,1.0
134,2.0
135,2.0
136,0.0
137,2.0
138,2.0
141,1.0
142,0.0
144,1.0
148,2.0
149,0.0
154,1.0
156,1.0
160,1.0
161,2.0
162,2.0
163,2.0
164,2.0
165,2.0
167,1.0
168,1.0
169,0.0
171,2.0
172,1.0
173,1.0
174,0.0
175,0.0
176,0.0
180,2.0
