"mid","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10"
"148","1","1","0","1","0","1","1","1","1","1"
"149","1","1","2","1","0","1","2","2","1","1"
"152","0","0","0","1","2","0","0","2","1","0"
"154","1","2","1","0","1","1","1","1","2","0"
"155","1","2","1","2","3","2","3","3","3","2"
"156","1","1","1","2","1","1","1","1","1","1"
"157","0","0","0","0","1","2","2","2","2","3"
"158","0","0","0","0","1","0","0","1","0","0"
"160","0","2","2","2","3","3","1","3","0","1"
"161","1","1","1","1","3","1","2","3","1","1"
"162","1","2","1","2","2","1","3","2","1","2"
"163","1","1","1","1","2","2","2","2","1","0"
"164","2","1","2","1","1","1","1","1","1","2"
"165","0","0","0","0","0","0","0","0","0","0"
"167","2","2","2","2","3","2","2","3","2","1"
"168","1","1","1","1","1","1","1","1","1","1"
"169","0","0","0","0","0","1","1","0","0","0"
"170","0","0","0","0","0","0","0","0","0","0"
"171","1","1","0","1","1","1","1","1","1","1"
"172","2","2","2","2","2","2","2","1","2","2"
"173","2","2","2","2","2","1","2","3","2","1"
"174","1","1","1","0","1","0","0","0","1","0"
"175","1","1","2","0","2","2","0","2","0","0"
"176","0","0","0","0","0","0","0","0","0","0"
"180","0","0","0","0","0","0","0","0","0","0"
