"mid","oid","q1","q2","q3","q4","q5","uniqueid","q6"
"114","74","1","2","2","3","3","59239","0"
"114","74","1","2","2","3","3","59240","0"
"114","75","1","2","2","3","3","59241","0"
"114","76","1","2","2","3","3","59242","0"
"114","77","1","2","2","3","3","59243","0"
"114","77","5","1","2","1","2","59244","15"
"114","78","4","1","2","3","3","59245","0"
"114","79","2","2","2","3","3","59246","0"
"114","80","1","2","2","3","3","59247","0"
"114","81","1","2","2","3","3","59248","0"
"114","82","1","2","2","3","3","59249","0"
"114","83","1","2","2","3","3","59250","0"
"114","84","1","2","2","3","3","59251","0"
"114","85","1","2","2","3","3","59252","0"
"114","86","1","2","2","3","3","59253","0"
"114","87","1","2","2","3","3","59254","0"
"114","88","1","2","2","3","3","59255","0"
