"mid","oid","q1","q2","q3","q4","q5","uniqueid","q6"
"117","4","1","2","2","3","3","58745","0"
"86","128","1","2","2","3","3","58746","0"
"86","128","1","2","2","3","3","58747","0"
"86","128","1","2","2","3","3","58748","0"
"86","128","1","2","2","3","3","58749","0"
"86","128","1","2","2","3","3","58750","0"
"86","128","1","2","2","3","3","58751","0"
"117","5","1","2","2","3","3","58752","0"
"86","128","1","2","2","3","3","58753","0"
"86","128","1","2","2","3","3","58754","0"
"86","128","1","2","2","3","3","58755","0"
"117","6","1","2","2","3","3","58756","0"
"86","128","1","2","2","3","3","58757","0"
"86","128","1","2","2","3","3","58758","0"
"117","7","1","2","2","3","3","58759","0"
"86","128","1","2","2","3","3","58760","0"
"117","8","1","2","2","3","3","58761","0"
"86","128","1","2","2","3","3","58762","0"
"86","128","1","2","2","3","3","58763","0"
"117","9","1","2","2","3","3","58764","0"
"86","128","1","2","2","3","3","58765","0"
"86","128","1","2","2","3","3","58766","0"
"117","10","1","2","2","3","3","58767","0"
"86","128","1","2","2","3","3","58768","0"
"86","128","1","2","2","3","3","58769","0"
"86","129","1","2","2","3","3","58770","0"
"117","11","1","2","2","3","3","58771","0"
"86","128","1","2","2","3","3","58772","0"
"117","12","1","2","2","3","3","58773","0"
"86","128","1","2","2","3","3","58774","0"
"86","128","1","2","2","3","3","58775","0"
"86","130","1","2","2","3","3","58776","0"
"117","13","1","2","2","3","3","58777","0"
"117","14","1","2","2","3","3","58778","0"
"86","131","1","2","2","3","3","58779","0"
"117","15","1","2","2","3","3","58780","0"
"86","132","1","2","2","3","3","58781","0"
"117","16","1","2","2","3","3","58782","0"
"86","133","1","2","2","3","3","58783","0"
"86","134","1","2","2","3","3","58784","0"
"86","135","1","2","2","3","3","58785","0"
"86","136","1","2","2","3","3","58786","0"
"117","16","1","2","2","3","3","58787","0"
"117","17","1","2","2","3","3","58788","0"
"117","18","1","2","2","3","3","58789","0"
"86","137","1","2","2","3","3","58790","0"
"86","138","1","2","2","3","3","58791","0"
"117","19","1","2","2","3","3","58792","0"
"86","139","1","2","2","3","3","58793","0"
"86","140","1","2","2","3","3","58794","0"
"117","20","1","2","2","3","3","58795","0"
"86","141","1","2","2","3","3","58796","0"
"117","21","1","2","2","3","3","58797","0"
"86","142","1","2","2","3","3","58798","0"
"117","22","1","2","2","3","3","58799","0"
"117","23","1","2","2","3","3","58800","0"
"86","143","1","2","2","3","3","58801","0"
"86","144","1","2","2","3","3","58802","0"
"117","24","1","2","2","3","3","58803","0"
"86","145","1","2","2","3","3","58804","0"
"117","25","1","2","2","3","3","58805","0"
"117","26","1","2","2","3","3","58806","0"
"86","146","1","2","2","3","3","58807","0"
"117","27","1","2","2","3","3","58808","0"
"117","28","1","2","2","3","3","58809","0"
"86","147","1","2","2","3","3","58810","0"
"86","148","1","2","2","3","3","58811","0"
"117","29","1","2","2","3","3","58812","0"
"86","149","1","2","2","3","3","58813","0"
